t,incu5_med,incu5_lower,incu5_upper,incu5_smc_med,incu5_smc_lower,incu5_smc_upper
553,0.001017743544767197,5.869287685488979e-4,0.0015433543623090268,0.0010180145649298956,5.869879592301588e-4,0.001543286209643626
554,0.001013570366798681,5.849174104439686e-4,0.0015334004936759676,0.0010136954499730783,5.849889895775005e-4,0.00153819512273468
555,0.0010042691636626836,5.747673383400928e-4,0.001509184379288896,0.0010027919869307297,5.749864875436569e-4,0.0015186999627546226
556,9.864543803586349e-4,5.651433907745663e-4,0.0014905259513086487,9.859551757176446e-4,5.639099775083627e-4,0.0014939472208928507
557,9.775929923856524e-4,5.516040928024669e-4,0.0014757205616522493,9.77837774743354e-4,5.509375362703614e-4,0.0014779289928151342
558,9.674059175899716e-4,5.41380905215671e-4,0.0014566827827502374,9.65663011721529e-4,5.399618613455815e-4,0.0014595452642719824
559,9.560427016410997e-4,5.309910927502747e-4,0.001441309938234124,9.541527787668101e-4,5.312625547148533e-4,0.0014411558187820317
560,9.417945311909325e-4,5.255975861140133e-4,0.0014400821647821084,9.415962753048984e-4,5.256121508416547e-4,0.0014404372461321595
561,9.302333621784231e-4,5.205914224780067e-4,0.0014415625617968367,9.277852072912627e-4,5.207426680976056e-4,0.0014421625592491768
562,9.247467356080293e-4,5.150324274067362e-4,0.0014338503627364628,9.212883922836783e-4,5.151497978273132e-4,0.0014303629846365684
563,9.170872092712008e-4,5.100323399530975e-4,0.0014178642355731023,9.168987923454462e-4,5.095510985124918e-4,0.0014144435212736692
564,9.028422751041174e-4,5.029986004427714e-4,0.0014040173189818718,9.038136473906962e-4,5.035377562375726e-4,0.0014006354602433997
565,8.983892820775801e-4,4.92920989423273e-4,0.0013888996256291714,8.984532968215081e-4,4.927690892859886e-4,0.0013855320239054142
566,8.946311449180813e-4,4.8358804913032927e-4,0.0013752352044437417,8.946585973144349e-4,4.8280262942690204e-4,0.0013720614782549959
