t,incu5_med,incu5_lower,incu5_upper,incu5_smc_med,incu5_smc_lower,incu5_smc_upper
565,1.2345084872582326e-4,3.0234264906761202e-5,4.8837204018303e-4,1.232844107837744e-4,3.0235374678944687e-5,4.89804347489979e-4
566,1.2202726281227464e-4,3.066532426442148e-5,4.805578018839301e-4,1.2197544725103286e-4,3.053951058600813e-5,4.8190741194191423e-4
567,1.2237812476355035e-4,3.1090239241297124e-5,4.7865995634745434e-4,1.2233805923417214e-4,3.074601911534067e-5,4.790195164027976e-4
568,1.2314137407021608e-4,3.1429269691242435e-5,4.9654245721993e-4,1.2331012781513295e-4,3.1353466123772206e-5,4.951790426085506e-4
569,1.2527994124998733e-4,3.176410581420911e-5,5.164938951427788e-4,1.2527881923249428e-4,3.136175481444914e-5,5.156038534081292e-4
570,1.2556157220332094e-4,3.224513542011372e-5,5.361442054118971e-4,1.2559398404619687e-4,3.2100939786550454e-5,5.348755031010858e-4
571,1.257741377549387e-4,3.226766368395593e-5,5.536753059748791e-4,1.2572766171458816e-4,3.2057709555483916e-5,5.530712834700832e-4
572,1.258547277723148e-4,3.309024364985071e-5,5.712810363640794e-4,1.259214810952435e-4,3.2695689565152115e-5,5.699799647718894e-4
573,1.254459464050665e-4,3.258331394288441e-5,5.862458683609128e-4,1.2568946615783023e-4,3.2848104090823934e-5,5.859144354218934e-4
574,1.2612564790246263e-4,3.375373620504761e-5,6.0156560168589e-4,1.2640118876174373e-4,3.327780642259916e-5,6.003559806750475e-4
575,1.286076731781764e-4,3.302378349226648e-5,6.148618221799519e-4,1.2806959653800627e-4,3.345949701890579e-5,6.142510943058454e-4
576,1.2950158705248065e-4,3.385783459332649e-5,6.268173222977928e-4,1.300906053185562e-4,3.374079082633897e-5,6.256439683754866e-4
577,1.3182868402917614e-4,3.2783070263524126e-5,6.381456874715199e-4,1.3144468712785013e-4,3.2705228335471976e-5,6.37904091723768e-4
578,1.3121861465387386e-4,3.3242757976113384e-5,6.479305490620106e-4,1.315224759304027e-4,3.319554471296141e-5,6.459288118044657e-4
579,1.3086696381386337e-4,3.198830318430868e-5,6.545287810705183e-4,1.3101912270479838e-4,3.1900581130239514e-5,6.551730429118235e-4
580,1.331080275467535e-4,3.274837562612787e-5,6.622245971947326e-4,1.3387498352094307e-4,3.259597497575578e-5,6.60778763816284e-4
581,1.3616214844090058e-4,3.19607398655143e-5,6.656787038150898e-4,1.3600303176594496e-4,3.217114685091544e-5,6.655187433459782e-4
582,1.4152778920432327e-4,3.230416019997434e-5,6.689829510933623e-4,1.4172543140250187e-4,3.195410292465713e-5,6.681107003958471e-4
583,1.4626845101171237e-4,3.2585008984873664e-5,6.691381273387852e-4,1.4541502993575762e-4,3.269038121856844e-5,6.684834341953808e-4
584,1.5488046950345427e-4,3.268112723521836e-5,6.677139928363473e-4,1.551932850470623e-4,3.2640698352745206e-5,6.668668296155822e-4
585,1.5694876219494468e-4,3.59221966966055e-5,6.634517168203005e-4,1.5687489394135046e-4,3.546395877412587e-5,6.628031453542959e-4
586,1.6157740797647583e-4,3.795080091044738e-5,6.579429868217039e-4,1.6109160271998545e-4,3.814036064274219e-5,6.568840180311904e-4
587,1.7229946533479896e-4,4.179865896354651e-5,6.488009799103405e-4,1.7342367502819615e-4,4.120901118993304e-5,6.484748451687706e-4
588,1.849268966045272e-4,4.501515126656408e-5,6.403716693900916e-4,1.8820307233456337e-4,4.53385691518113e-5,6.389557716086634e-4
589,2.0020866658154707e-4,4.782457311832508e-5,6.271879444939925e-4,2.0165834789397772e-4,4.677186838392216e-5,6.248828806659027e-4
